z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,denU,denL,Collins_U,Collins_L,time[s],neval,fail
0.1,0.0414491,2.95257e-05,-0,-nan,-0.0153889,1.09621e-05,0,-nan,0.174009,0.000123953,-0,-nan,0.639293,0.521164,0.2382,-0.088437,250.858,20000000,0
0.15,0.0416599,2.96356e-05,-0,-nan,-0.0168956,1.2019e-05,0,-nan,0.17401,0.000123786,-0,-nan,0.306018,0.255764,0.239411,-0.0970953,251.406,20000000,0
0.2,0.0423524,3.00982e-05,-0,-nan,-0.019468,1.38352e-05,0,-nan,0.174011,0.000123663,-0,-nan,0.171886,0.142301,0.243389,-0.111878,252.29,20000000,0
0.25,0.0433961,3.08145e-05,-0,-nan,-0.0228742,1.62424e-05,0,-nan,0.174012,0.000123562,-0,-nan,0.105129,0.0834488,0.249385,-0.131452,251.352,20000000,0
0.3,0.0445243,3.15947e-05,-0,-nan,-0.0267077,1.8952e-05,0,-nan,0.174013,0.000123481,-0,-nan,0.0675204,0.0505596,0.255868,-0.153481,249.194,20000000,0
0.35,0.0455669,3.23184e-05,-0,-nan,-0.0306421,2.1733e-05,0,-nan,0.174014,0.000123419,-0,-nan,0.0446406,0.0314971,0.261858,-0.176091,251.965,20000000,0
0.4,0.0464769,3.29508e-05,-0,-nan,-0.0345087,2.44657e-05,0,-nan,0.174014,0.000123371,-0,-nan,0.0302721,0.0202664,0.267087,-0.19831,250.682,20000000,0
0.45,0.0472796,3.3509e-05,-0,-nan,-0.0382942,2.71407e-05,0,-nan,0.174015,0.000123331,-0,-nan,0.0210458,0.0134531,0.271699,-0.220063,253.121,20000000,0
0.5,0.0480076,3.40147e-05,-0,-nan,-0.0420412,2.97873e-05,0,-nan,0.174015,0.000123295,-0,-nan,0.0150119,0.00915223,0.275881,-0.241595,250.781,20000000,0
0.55,0.0486565,3.44635e-05,-0,-nan,-0.0457225,3.23854e-05,0,-nan,0.174016,0.000123256,-0,-nan,0.0109791,0.0063208,0.279609,-0.262749,249.625,20000000,0
0.6,0.049185,3.48263e-05,-0,-nan,-0.0491749,3.48192e-05,0,-nan,0.174017,0.000123216,-0,-nan,0.00817665,0.00437414,0.282645,-0.282586,252.201,20000000,0
0.65,0.0495456,3.50683e-05,-0,-nan,-0.0521215,3.68915e-05,0,-nan,0.174018,0.00012317,-0,-nan,0.00611605,0.00299495,0.284715,-0.299517,249.877,20000000,0
0.7,0.0497128,3.5173e-05,-0,-nan,-0.0542298,3.83689e-05,0,-nan,0.174019,0.000123123,-0,-nan,0.0045292,0.0020061,0.285674,-0.311631,249.065,20000000,0
0.75,0.0496976,3.51469e-05,-0,-nan,-0.0552061,3.90426e-05,0,-nan,0.174021,0.00012307,-0,-nan,0.00324985,0.0012963,0.285584,-0.317239,250.227,20000000,0
0.8,0.0495435,3.50189e-05,-0,-nan,-0.054918,3.88177e-05,0,-nan,0.174023,0.000123005,-0,-nan,0.00219369,0.00079168,0.284695,-0.315578,251.68,20000000,0
0.1,0.051634,3.67342e-05,-0,-nan,-0.013978,9.94446e-06,0,-nan,0.174016,0.000123801,-0,-nan,0.639293,0.521164,0.29672,-0.0803263,250.28,20000000,0
0.15,0.0515308,3.66159e-05,-0,-nan,-0.0148464,1.05493e-05,0,-nan,0.174017,0.00012365,-0,-nan,0.306018,0.255764,0.296126,-0.0853157,249.714,20000000,0
0.2,0.0520464,3.69499e-05,-0,-nan,-0.0169391,1.20257e-05,0,-nan,0.174017,0.000123542,-0,-nan,0.171886,0.142301,0.299088,-0.0973415,251.098,20000000,0
0.25,0.0530824,3.76589e-05,-0,-nan,-0.0200818,1.42468e-05,0,-nan,0.174017,0.000123455,-0,-nan,0.105129,0.0834488,0.305041,-0.115401,250.383,20000000,0
0.3,0.0543126,3.85097e-05,-0,-nan,-0.0238727,1.69266e-05,0,-nan,0.174017,0.000123385,-0,-nan,0.0675204,0.0505596,0.31211,-0.137185,251.675,20000000,0
0.35,0.0554961,3.93307e-05,-0,-nan,-0.0279619,1.98169e-05,0,-nan,0.174018,0.000123328,-0,-nan,0.0446406,0.0314971,0.318911,-0.160685,249.521,20000000,0
0.4,0.056545,4.00599e-05,-0,-nan,-0.0321546,2.27802e-05,0,-nan,0.174018,0.000123285,-0,-nan,0.0302721,0.0202664,0.324939,-0.184778,251.16,20000000,0
0.45,0.0574844,4.07135e-05,-0,-nan,-0.0364265,2.57992e-05,0,-nan,0.174018,0.000123249,-0,-nan,0.0210458,0.0134531,0.330336,-0.209326,248.685,20000000,0
0.5,0.0583753,4.13329e-05,-0,-nan,-0.0408192,2.89022e-05,0,-nan,0.174018,0.000123214,-0,-nan,0.0150119,0.00915223,0.335455,-0.234569,251.719,20000000,0
0.55,0.0592444,4.19361e-05,-0,-nan,-0.0452897,3.20583e-05,0,-nan,0.174019,0.000123179,-0,-nan,0.0109791,0.0063208,0.340449,-0.260258,251.491,20000000,0
0.6,0.0600622,4.25006e-05,-0,-nan,-0.0496186,3.51106e-05,0,-nan,0.174019,0.000123138,-0,-nan,0.00817665,0.00437414,0.345147,-0.285133,249.02,20000000,0
0.65,0.0607571,4.29766e-05,-0,-nan,-0.0534271,3.77917e-05,0,-nan,0.174021,0.000123094,-0,-nan,0.00611605,0.00299495,0.349137,-0.307016,248.515,20000000,0
0.7,0.0612724,4.33226e-05,-0,-nan,-0.0562419,3.97658e-05,0,-nan,0.174022,0.000123042,-0,-nan,0.0045292,0.0020061,0.352095,-0.323188,251.812,20000000,0
0.75,0.0615807,4.35185e-05,-0,-nan,-0.0576179,4.0718e-05,0,-nan,0.174025,0.000122982,-0,-nan,0.00324985,0.0012963,0.353862,-0.331091,250.268,20000000,0
0.8,0.0616958,4.35733e-05,-0,-nan,-0.057309,4.0475e-05,0,-nan,0.174027,0.000122908,-0,-nan,0.00219369,0.00079168,0.35452,-0.329311,251.715,20000000,0
0.1,0.0504445,3.58898e-05,-0,-nan,-0.0145771,1.03712e-05,0,-nan,0.174015,0.000123807,-0,-nan,0.639293,0.521164,0.289886,-0.083769,248.975,20000000,0
0.15,0.0503793,3.57993e-05,-0,-nan,-0.0154822,1.10016e-05,0,-nan,0.174016,0.000123655,-0,-nan,0.306018,0.255764,0.289509,-0.08897,253.272,20000000,0
0.2,0.0509277,3.61574e-05,-0,-nan,-0.01765,1.25311e-05,0,-nan,0.174017,0.000123548,-0,-nan,0.171886,0.142301,0.292659,-0.101427,249.218,20000000,0
