z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,denU,denL,Collins_U,Collins_L,time[s],neval,fail
0.8,0.063678,4.51964e-05,-0,-nan,-0.0112547,7.9882e-06,0,-nan,0.173979,0.000123484,-0,-nan,0.0780711,0.0574188,0.366009,-0.0646899,247.511,20000000,0
0.1,0.0309152,2.20838e-05,-0,-nan,-0.00278784,1.99145e-06,0,-nan,0.173987,0.000124285,-0,-nan,27.9005,26.1577,0.177687,-0.0160233,249.509,20000000,0
0.15,0.0306615,2.19109e-05,-0,-nan,-0.00414927,2.9651e-06,0,-nan,0.173977,0.000124325,-0,-nan,13.4601,12.7186,0.176239,-0.0238496,244.979,20000000,0
0.2,0.0309841,2.21447e-05,-0,-nan,-0.00588408,4.20542e-06,0,-nan,0.173972,0.00012434,-0,-nan,7.5318,7.0952,0.178098,-0.033822,251.046,20000000,0
0.25,0.0318359,2.27461e-05,-0,-nan,-0.00775808,5.54301e-06,0,-nan,0.173975,0.000124302,-0,-nan,4.54132,4.2214,0.182991,-0.0445931,249.506,20000000,0
0.3,0.0329223,2.3516e-05,-0,-nan,-0.0095863,6.84737e-06,0,-nan,0.173973,0.000124267,-0,-nan,2.86252,2.61228,0.189238,-0.0551022,248.719,20000000,0
0.35,0.0339914,2.42699e-05,-0,-nan,-0.011301,8.06889e-06,0,-nan,0.17397,0.000124215,-0,-nan,1.85835,1.66446,0.195386,-0.0649592,247.285,20000000,0
0.4,0.0349237,2.49294e-05,-0,-nan,-0.0129162,9.21993e-06,0,-nan,0.17397,0.000124184,-0,-nan,1.24093,1.09334,0.200745,-0.074244,250.689,20000000,0
0.45,0.0357364,2.55012e-05,-0,-nan,-0.0144458,1.03084e-05,0,-nan,0.17397,0.000124143,-0,-nan,0.851501,0.739513,0.205417,-0.0830363,249.806,20000000,0
0.5,0.0365343,2.60626e-05,-0,-nan,-0.0158191,1.12849e-05,0,-nan,0.173971,0.000124106,-0,-nan,0.599567,0.513144,0.210003,-0.0909296,245.505,20000000,0
0.55,0.0374228,2.66854e-05,-0,-nan,-0.0168703,1.20298e-05,0,-nan,0.173971,0.000124055,-0,-nan,0.431962,0.363263,0.215109,-0.0969716,250.841,20000000,0
