z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,denU,denL,Collins_U,Collins_L,time[s],neval,fail
0.1,0.0448797,3.19611e-05,-0,-nan,-0.014695,1.0465e-05,0,-nan,0.174011,0.000123922,-0,-nan,0.639293,0.521164,0.257914,-0.0844488,253.72,20000000,0
0.15,0.0449748,3.19862e-05,-0,-nan,-0.0160428,1.14097e-05,0,-nan,0.174012,0.000123758,-0,-nan,0.306018,0.255764,0.258458,-0.092194,251.471,20000000,0
0.2,0.0455935,3.23947e-05,-0,-nan,-0.0184801,1.31303e-05,0,-nan,0.174012,0.000123638,-0,-nan,0.171886,0.142301,0.262013,-0.1062,250.681,20000000,0
0.25,0.0466175,3.30958e-05,-0,-nan,-0.0217851,1.54662e-05,0,-nan,0.174013,0.00012354,-0,-nan,0.105129,0.0834488,0.267896,-0.125192,251.248,20000000,0
0.3,0.0477611,3.38859e-05,-0,-nan,-0.0255549,1.81309e-05,0,-nan,0.174014,0.00012346,-0,-nan,0.0675204,0.0505596,0.274467,-0.146856,252.737,20000000,0
0.35,0.0488306,3.46277e-05,-0,-nan,-0.0294612,2.08921e-05,0,-nan,0.174014,0.0001234,-0,-nan,0.0446406,0.0314971,0.280612,-0.169303,248.942,20000000,0
0.4,0.0497646,3.52767e-05,-0,-nan,-0.033331,2.36273e-05,0,-nan,0.174015,0.000123354,-0,-nan,0.0302721,0.0202664,0.28598,-0.191541,249.785,20000000,0
0.45,0.0505886,3.58493e-05,-0,-nan,-0.0371481,2.63247e-05,0,-nan,0.174015,0.000123315,-0,-nan,0.0210458,0.0134531,0.290714,-0.213476,254.826,20000000,0
0.5,0.0513468,3.63756e-05,-0,-nan,-0.0409537,2.90127e-05,0,-nan,0.174016,0.000123278,-0,-nan,0.0150119,0.00915223,0.29507,-0.235345,251.295,20000000,0
0.55,0.0520501,3.68625e-05,-0,-nan,-0.0447182,3.16699e-05,0,-nan,0.174016,0.00012324,-0,-nan,0.0109791,0.0063208,0.29911,-0.256977,251.815,20000000,0
0.6,0.0526663,3.72863e-05,-0,-nan,-0.0482709,3.41745e-05,0,-nan,0.174017,0.0001232,-0,-nan,0.00817665,0.00437414,0.30265,-0.277391,253.228,20000000,0
0.65,0.0531429,3.76095e-05,-0,-nan,-0.0513223,3.63211e-05,0,-nan,0.174019,0.000123154,-0,-nan,0.00611605,0.00299495,0.305386,-0.294924,251.757,20000000,0
0.7,0.0534451,3.78085e-05,-0,-nan,-0.0535215,3.78625e-05,0,-nan,0.17402,0.000123106,-0,-nan,0.0045292,0.0020061,0.307121,-0.307559,250.792,20000000,0
0.75,0.0535689,3.78791e-05,-0,-nan,-0.0545548,3.85762e-05,0,-nan,0.174021,0.000123052,-0,-nan,0.00324985,0.0012963,0.307829,-0.313495,252.895,20000000,0
0.8,0.0535433,3.78399e-05,-0,-nan,-0.0542739,3.83562e-05,0,-nan,0.174024,0.000122985,-0,-nan,0.00219369,0.00079168,0.307678,-0.311876,252.005,20000000,0
0.1,0.0462712,3.29388e-05,-0,-nan,-0.0146708,1.04436e-05,0,-nan,0.174013,0.000123873,-0,-nan,0.639293,0.521164,0.265907,-0.0843086,252.587,20000000,0
0.15,0.0463108,3.29247e-05,-0,-nan,-0.0158234,1.12497e-05,0,-nan,0.174014,0.000123715,-0,-nan,0.306018,0.255764,0.266133,-0.0909318,252.704,20000000,0
0.2,0.0469074,3.33177e-05,-0,-nan,-0.0181524,1.28934e-05,0,-nan,0.174014,0.0001236,-0,-nan,0.171886,0.142301,0.269561,-0.104315,253.903,20000000,0
0.25,0.0479474,3.40301e-05,-0,-nan,-0.0214511,1.52247e-05,0,-nan,0.174015,0.000123505,-0,-nan,0.105129,0.0834488,0.275536,-0.123272,249.819,20000000,0
0.3,0.0491324,3.48493e-05,-0,-nan,-0.0253074,1.79504e-05,0,-nan,0.174015,0.000123428,-0,-nan,0.0675204,0.0505596,0.282345,-0.145432,251.247,20000000,0
0.35,0.0502547,3.56284e-05,-0,-nan,-0.0293753,2.08258e-05,0,-nan,0.174016,0.00012337,-0,-nan,0.0446406,0.0314971,0.288794,-0.168808,250.513,20000000,0
