z2,<dsig|c12>_U,err_<dsig|c12>_U,<ALL|c12>_U,err_<ALL|c12>_U,<dsig|c12>_L,err_<dsig|c12>_L,<ALL|c12>_L,err_<ALL|c12>_L,BU_o_AU,err_BU_o_AU,BL_o_AU,err_BL_o_AU,Collins_U,Collins_L,time[s],neval,fail
,0.1,0.033222,1.02486e-05,0.000433906,1.06651e-07,-0.000373879,1.15338e-07,-4.88315e-06,1.20025e-09,0.1485,4.58106e-05,0.00193953,4.76722e-07,0.354099,-0.00398501,200.134,64000000,0
,0.15,0.0326881,1.08847e-05,0.000426888,1.13163e-07,-0.00121073,4.03157e-07,-1.58114e-05,4.19142e-09,0.148653,4.94997e-05,0.00194133,5.14623e-07,0.348048,-0.0128913,153.293,49000000,0
,0.2,0.0327702,1.11369e-05,0.000427512,1.1562e-07,-0.00251289,8.54e-07,-3.27826e-05,8.86603e-09,0.148653,5.05195e-05,0.0019393,5.24481e-07,0.348922,-0.0267562,147.714,47000000,0
,0.25,0.0334956,1.14961e-05,0.0004369,1.19207e-07,-0.00409117,1.40413e-06,-5.33632e-05,1.456e-08,0.148648,5.10176e-05,0.00193889,5.2902e-07,0.356659,-0.0435625,143.998,46000000,0
,0.3,0.0345423,1.19704e-05,0.000450518,1.24e-07,-0.0057622,1.99684e-06,-7.51534e-05,2.06851e-08,0.148647,5.15124e-05,0.00193873,5.33613e-07,0.367807,-0.0613559,141.983,45000000,0
,0.35,0.0356034,1.23174e-05,0.000464304,1.27485e-07,-0.00743496,2.5722e-06,-9.69592e-05,2.66223e-08,0.148645,5.14252e-05,0.00193847,5.32251e-07,0.379112,-0.0791688,141.659,45000000,0
,0.4,0.0365165,1.27625e-05,0.000476155,1.31993e-07,-0.00910599,3.18254e-06,-0.000118737,3.29147e-08,0.148643,5.19506e-05,0.00193822,5.37286e-07,0.388839,-0.0969635,138.319,44000000,0
,0.45,0.0372849,1.30138e-05,0.000486127,1.34506e-07,-0.0107893,3.76584e-06,-0.000140672,3.89226e-08,0.14864,5.18808e-05,0.001938,5.36225e-07,0.397028,-0.114889,137.528,44000000,0
,0.5,0.0380285,1.32556e-05,0.000495783,1.36924e-07,-0.0124254,4.33113e-06,-0.000161992,4.47385e-08,0.148639,5.18109e-05,0.00193782,5.35183e-07,0.40495,-0.132313,137.835,44000000,0
,0.55,0.0388933,1.36987e-05,0.000507028,1.4141e-07,-0.0138384,4.87405e-06,-0.000180403,5.03143e-08,0.148639,5.23523e-05,0.00193771,5.40427e-07,0.414159,-0.14736,135.441,43000000,0
,0.6,0.0399638,1.40478e-05,0.000520962,1.44903e-07,-0.0147689,5.19145e-06,-0.000192525,5.35499e-08,0.148639,5.22483e-05,0.00193763,5.38943e-07,0.425559,-0.157268,135.126,43000000,0
,0.65,0.0412052,1.44484e-05,0.000537134,1.48904e-07,-0.0149979,5.25891e-06,-0.000195506,5.4198e-08,0.148639,5.21194e-05,0.0019376,5.37139e-07,0.438777,-0.159706,135.016,43000000,0
,0.7,0.0425436,1.50535e-05,0.000554582,1.54973e-07,-0.014352,5.07825e-06,-0.000187087,5.22796e-08,0.148641,5.25947e-05,0.00193763,5.41453e-07,0.453022,-0.152826,132.063,42000000,0
,0.75,0.04386,2.12297e-05,0.000571829,2.18137e-07,-0.0128454,6.21758e-06,-0.000167473,6.38863e-08,0.148673,7.19627e-05,0.00193834,7.39425e-07,0.46694,-0.136754,72.0996,23000000,0
,0.8,0.0450429,3.45513e-05,0.000587742,3.539e-07,-0.0106703,8.18494e-06,-0.000139231,8.38361e-08,0.148747,0.0001141,0.00194092,1.1687e-06,0.479295,-0.113541,31.185,10000000,0
